Company,2020,2021,2022,2023,2024,Total_Laid_off
#Paid,0.0,0.0,0.0,19.0,0.0,19.0
&Open,0.0,0.0,9.0,0.0,0.0,9.0
10X Genomics,0.0,0.0,100.0,0.0,0.0,100.0
1stdibs,70.0,0.0,0.0,0.0,0.0,70.0
23andMe,0.0,0.0,0.0,146.0,0.0,146.0
2TM,0.0,0.0,190.0,0.0,0.0,190.0
2U,0.0,0.0,0.0,0.0,0.0,0.0
54gene,0.0,0.0,95.0,0.0,0.0,95.0
6sense,0.0,0.0,150.0,0.0,0.0,150.0
7Shifts,0.0,0.0,0.0,0.0,68.0,68.0
7shifts,0.0,0.0,0.0,30.0,0.0,30.0
888,0.0,0.0,0.0,0.0,0.0,0.0
8x8,0.0,0.0,200.0,155.0,0.0,355.0
98point6,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,75.0,75.0
A2Mac1 LLC,0.0,0.0,0.0,0.0,70.0,70.0
ABL,0.0,0.0,0.0,0.0,0.0,0.0
AEye,0.0,0.0,0.0,46.0,0.0,46.0
ALI Technologies,0.0,0.0,0.0,0.0,0.0,0.0
AU10TIX,0.0,0.0,0.0,19.0,0.0,19.0
Aakash,0.0,0.0,0.0,0.0,80.0,80.0
Abra,0.0,0.0,0.0,0.0,12.0,12.0
Absci,0.0,0.0,0.0,0.0,30.0,30.0
Acast,0.0,0.0,0.0,0.0,70.0,70.0
Acko,0.0,0.0,0.0,0.0,45.0,45.0
AdRoll,210.0,0.0,0.0,0.0,0.0,210.0
Ada,0.0,0.0,0.0,0.0,78.0,78.0
Ada Support,0.0,0.0,0.0,0.0,36.0,36.0
Adaptive Biotechnology,0.0,0.0,100.0,0.0,0.0,100.0
Addepar,0.0,0.0,0.0,20.0,0.0,20.0
Affirm,0.0,0.0,0.0,500.0,60.0,560.0
AgentSync,0.0,0.0,0.0,67.0,0.0,67.0
Agilent Technologies,0.0,0.0,0.0,0.0,184.0,184.0
Agility Robotics,0.0,0.0,0.0,0.0,0.0,0.0
Ahead,0.0,0.0,44.0,0.0,0.0,44.0
Airbnb,1900.0,0.0,0.0,0.0,0.0,1900.0
Airmeet,0.0,0.0,0.0,75.0,0.0,75.0
Airtable,0.0,0.0,254.0,237.0,0.0,491.0
Airtasker,0.0,0.0,0.0,45.0,0.0,45.0
Airtime,0.0,0.0,30.0,0.0,0.0,30.0
Ajaib,0.0,0.0,67.0,0.0,0.0,67.0
Akamai,0.0,0.0,0.0,290.0,0.0,290.0
Akili Interactive,0.0,0.0,0.0,0.0,0.0,0.0
Akili Labs,0.0,0.0,0.0,46.0,0.0,46.0
AlayaCare,0.0,0.0,80.0,0.0,0.0,80.0
Albert,0.0,0.0,20.0,0.0,0.0,20.0
Aleph Farms,0.0,0.0,0.0,0.0,30.0,30.0
AliExpress Russia,0.0,0.0,400.0,0.0,0.0,400.0
Alice,0.0,0.0,113.0,0.0,0.0,113.0
Alteryx,0.0,0.0,0.0,320.0,0.0,320.0
Alto Pharmacy,47.0,0.0,0.0,0.0,0.0,47.0
Amazon,0.0,0.0,10150.0,17000.0,430.0,27580.0
American Robotics,0.0,0.0,0.0,50.0,0.0,50.0
Amount,0.0,0.0,0.0,130.0,0.0,130.0
Amperity,0.0,0.0,13.0,0.0,20.0,33.0
Amplero,17.0,0.0,0.0,0.0,0.0,17.0
Amplitude,0.0,0.0,0.0,99.0,0.0,99.0
Analog Devices,0.0,0.0,0.0,0.0,111.0,111.0
Anchorage Digital,0.0,0.0,0.0,75.0,0.0,75.0
Andela,135.0,0.0,0.0,0.0,0.0,135.0
Anodot,0.0,0.0,35.0,0.0,0.0,35.0
Antidote Health,0.0,0.0,23.0,0.0,0.0,23.0
Apartment List,0.0,0.0,29.0,0.0,0.0,29.0
Apeks,0.0,0.0,0.0,0.0,0.0,0.0
App Annie,80.0,0.0,0.0,0.0,0.0,80.0
AppFolio,0.0,0.0,0.0,149.0,0.0,149.0
AppLovin,0.0,0.0,300.0,0.0,61.0,361.0
Apple,0.0,0.0,0.0,0.0,714.0,714.0
ApplyBoard,0.0,0.0,90.0,0.0,0.0,90.0
Aptiv,0.0,0.0,0.0,0.0,250.0,250.0
Aqgromalin,0.0,0.0,80.0,0.0,0.0,80.0
Aqua Security,24.0,0.0,65.0,0.0,50.0,139.0
Archipelago,0.0,0.0,0.0,40.0,0.0,40.0
Argo AI,0.0,0.0,323.0,0.0,0.0,323.0
Argyle,0.0,0.0,20.0,0.0,0.0,20.0
Arkane Studios,0.0,0.0,0.0,0.0,96.0,96.0
Arm Holdings,0.0,0.0,0.0,0.0,70.0,70.0
Armis,0.0,0.0,25.0,0.0,0.0,25.0
Arrival,0.0,0.0,480.0,1000.0,0.0,1480.0
Arrive Logistics,75.0,0.0,0.0,0.0,0.0,75.0
Artifact,0.0,0.0,0.0,0.0,0.0,0.0
Artsy,0.0,0.0,0.0,35.0,0.0,35.0
Asana,0.0,0.0,180.0,0.0,0.0,180.0
Assurance,0.0,0.0,0.0,0.0,112.0,112.0
Astra,40.0,0.0,0.0,0.0,0.0,40.0
Astrate Medical,0.0,0.0,0.0,0.0,0.0,0.0
Astronomer,0.0,0.0,0.0,176.0,0.0,176.0
At-Bay,0.0,0.0,0.0,27.0,0.0,27.0
Atlas,0.0,0.0,0.0,150.0,0.0,150.0
Atlassian,0.0,0.0,0.0,500.0,0.0,500.0
Atmosphere,0.0,0.0,0.0,0.0,100.0,100.0
AtoB,0.0,0.0,32.0,0.0,0.0,32.0
Atsu,6.0,0.0,0.0,0.0,0.0,6.0
Auctane,0.0,0.0,0.0,0.0,0.0,0.0
Audible,0.0,0.0,0.0,0.0,100.0,100.0
AudioCodes,0.0,0.0,0.0,160.0,0.0,160.0
Augury,0.0,0.0,0.0,90.0,0.0,90.0
Aura,0.0,0.0,70.0,0.0,0.0,70.0
Aurora,0.0,0.0,0.0,0.0,0.0,0.0
Aurora Solar,0.0,0.0,0.0,0.0,111.0,111.0
Autograph,0.0,0.0,0.0,30.0,0.0,30.0
Automation Anything,260.0,0.0,0.0,0.0,0.0,260.0
AvantStay,0.0,0.0,144.0,0.0,0.0,144.0
Avidbots,0.0,0.0,0.0,50.0,0.0,50.0
Avo,0.0,0.0,500.0,0.0,0.0,500.0
Away,60.0,0.0,0.0,22.0,0.0,82.0
Axios Media,0.0,0.0,0.0,0.0,50.0,50.0
Aya,5.0,0.0,0.0,0.0,0.0,5.0
B8ta,250.0,0.0,0.0,0.0,0.0,250.0
Back Market,0.0,0.0,93.0,0.0,0.0,93.0
Bakkt,0.0,0.0,0.0,0.0,28.0,28.0
Banxa,0.0,0.0,70.0,0.0,0.0,70.0
Basis Technologies,0.0,0.0,0.0,40.0,0.0,40.0
Baton,0.0,0.0,16.0,0.0,0.0,16.0
BeReal,0.0,0.0,0.0,0.0,0.0,0.0
Beam Benefits,0.0,0.0,0.0,31.0,74.0,105.0
Bell,0.0,0.0,0.0,0.0,400.0,400.0
Bench,47.0,0.0,0.0,0.0,0.0,47.0
BenchSci,0.0,0.0,0.0,0.0,70.0,70.0
Benchling,0.0,0.0,0.0,74.0,0.0,74.0
Benevity,0.0,0.0,0.0,137.0,0.0,137.0
Berlin Brands Group,0.0,0.0,100.0,0.0,0.0,100.0
Bestow,0.0,0.0,41.0,0.0,0.0,41.0
Better.com,0.0,900.0,3000.0,0.0,0.0,3900.0
BetterUp,0.0,0.0,0.0,100.0,0.0,100.0
Bevi,30.0,0.0,0.0,0.0,0.0,30.0
Beyond Meat,0.0,0.0,240.0,65.0,0.0,305.0
BeyondMinds,0.0,0.0,65.0,0.0,0.0,65.0
BharatAgri,0.0,0.0,0.0,40.0,0.0,40.0
BigCommerce,0.0,0.0,180.0,0.0,0.0,180.0
BigPanda,0.0,0.0,0.0,40.0,0.0,40.0
BillGO,0.0,0.0,0.0,0.0,80.0,80.0
BioMarin,0.0,0.0,120.0,0.0,0.0,120.0
Bird,406.0,0.0,138.0,0.0,0.0,544.0
Bishop Fox,0.0,0.0,0.0,50.0,0.0,50.0
BitOasis,0.0,0.0,9.0,0.0,0.0,9.0
BitTitan,0.0,70.0,0.0,0.0,0.0,70.0
Bitpanda,0.0,0.0,270.0,0.0,0.0,270.0
Bitso,0.0,0.0,80.0,0.0,0.0,80.0
Bitwise,0.0,0.0,0.0,900.0,0.0,900.0
Bizzabo,0.0,0.0,220.0,0.0,0.0,220.0
BlackLine,0.0,0.0,95.0,95.0,0.0,190.0
Blend,0.0,0.0,520.0,490.0,0.0,1010.0
BlissClub,0.0,0.0,0.0,0.0,21.0,21.0
Block,0.0,0.0,0.0,0.0,1000.0,1000.0
BlockFi,0.0,0.0,250.0,0.0,0.0,250.0
Blockchain.com,0.0,0.0,150.0,110.0,0.0,260.0
Blueboard,0.0,0.0,0.0,0.0,0.0,0.0
Blueground,130.0,0.0,0.0,0.0,0.0,130.0
Bluelearn,0.0,0.0,0.0,0.0,0.0,0.0
Bluevine,0.0,0.0,0.0,0.0,0.0,0.0
Bluprint,137.0,0.0,0.0,0.0,0.0,137.0
Bolt,0.0,0.0,240.0,180.0,0.0,420.0
Bolt.Earth,0.0,0.0,0.0,0.0,70.0,70.0
Bonsai,0.0,0.0,59.0,0.0,0.0,59.0
BookClub,0.0,0.0,12.0,0.0,0.0,12.0
BookMyShow,270.0,0.0,0.0,0.0,0.0,270.0
Boost,0.0,0.0,0.0,15.0,0.0,15.0
Boozt,0.0,0.0,70.0,0.0,0.0,70.0
Borrowell,15.0,0.0,0.0,0.0,0.0,15.0
Bounce,130.0,200.0,0.0,40.0,0.0,370.0
BounceX,77.0,0.0,0.0,0.0,0.0,77.0
Boxed,0.0,0.0,0.0,32.0,0.0,32.0
Branch,3.0,0.0,0.0,0.0,85.0,88.0
Branch Metrics,100.0,0.0,0.0,0.0,0.0,100.0
Branch.io,0.0,0.0,0.0,0.0,100.0,100.0
Brave,0.0,0.0,0.0,0.0,27.0,27.0
Brave Care,0.0,0.0,40.0,0.0,0.0,40.0
Breathe,0.0,0.0,50.0,0.0,0.0,50.0
Breather,120.0,0.0,0.0,0.0,0.0,120.0
Brex,62.0,0.0,136.0,0.0,282.0,480.0
Bridge Connector,154.0,0.0,0.0,0.0,0.0,154.0
Bridgit,0.0,0.0,13.0,0.0,0.0,13.0
Bright Machines,0.0,0.0,30.0,0.0,0.0,30.0
Bright Money,0.0,0.0,100.0,0.0,0.0,100.0
Brightcove,0.0,0.0,0.0,70.0,0.0,70.0
Brighte,0.0,0.0,30.0,0.0,0.0,30.0
Brilliant,0.0,0.0,0.0,0.0,0.0,0.0
Bringg,10.0,0.0,0.0,0.0,0.0,10.0
Britishvolt,0.0,0.0,0.0,206.0,0.0,206.0
Briza,0.0,0.0,26.0,0.0,0.0,26.0
Bryter,0.0,0.0,100.0,0.0,0.0,100.0
Buenbit,0.0,0.0,80.0,0.0,0.0,80.0
Builder,39.0,0.0,0.0,0.0,0.0,39.0
Built In,0.0,0.0,50.0,0.0,0.0,50.0
Bullhorn,0.0,0.0,0.0,140.0,0.0,140.0
Bullish,0.0,0.0,30.0,0.0,0.0,30.0
Bumble,0.0,0.0,0.0,0.0,350.0,350.0
Bungie,0.0,0.0,0.0,0.0,220.0,220.0
BusBud,23.0,0.0,0.0,0.0,0.0,23.0
Buser,0.0,0.0,160.0,0.0,0.0,160.0
Business Insider,0.0,0.0,0.0,0.0,0.0,0.0
Bustle Digital Group,24.0,0.0,0.0,0.0,0.0,24.0
Butler Hospitality,0.0,0.0,1000.0,0.0,0.0,1000.0
Button,48.0,0.0,0.0,0.0,0.0,48.0
Buy.com,87.0,0.0,0.0,0.0,0.0,87.0
BuzzFeed,0.0,0.0,180.0,180.0,0.0,360.0
Byju's,0.0,0.0,2500.0,0.0,500.0,3000.0
ByteDance,0.0,0.0,0.0,0.0,450.0,450.0
C2FO,0.0,0.0,20.0,80.0,32.0,132.0
CI Gaming,0.0,0.0,0.0,0.0,30.0,30.0
CNET,0.0,0.0,0.0,12.0,0.0,12.0
CS Disco,0.0,0.0,0.0,62.0,0.0,62.0
CTO.ai,30.0,0.0,0.0,0.0,0.0,30.0
Cabify,0.0,0.0,0.0,0.0,29.0,29.0
Cadre,28.0,0.0,0.0,0.0,0.0,28.0
Cake Bikes,0.0,0.0,0.0,0.0,0.0,0.0
Calendly,0.0,0.0,0.0,60.0,0.0,60.0
Calibrate,0.0,0.0,156.0,0.0,0.0,156.0
Calm,0.0,0.0,90.0,0.0,0.0,90.0
Cameo,0.0,0.0,87.0,0.0,0.0,87.0
Candy Digital,0.0,0.0,33.0,0.0,0.0,33.0
Canoo,0.0,0.0,58.0,0.0,0.0,58.0
Capitolis,0.0,0.0,37.0,0.0,0.0,37.0
Captiv8,0.0,0.0,0.0,8.0,0.0,8.0
CaptivateIQ,0.0,0.0,31.0,0.0,0.0,31.0
CarGurus,130.0,0.0,0.0,0.0,0.0,130.0
CarTrawler,0.0,0.0,0.0,0.0,40.0,40.0
Carbon Health,0.0,0.0,250.0,114.0,56.0,420.0
Care/of,0.0,0.0,0.0,0.0,143.0,143.0
CareRev,0.0,0.0,0.0,100.0,0.0,100.0
Careem,536.0,0.0,0.0,0.0,0.0,536.0
Career Karma,0.0,0.0,60.0,0.0,0.0,60.0
Carousell,0.0,0.0,110.0,0.0,0.0,110.0
Cars24,0.0,0.0,600.0,0.0,0.0,600.0
Cart.com,0.0,0.0,0.0,25.0,0.0,25.0
Carta,161.0,0.0,0.0,0.0,0.0,161.0
Carvana,0.0,0.0,4000.0,0.0,0.0,4000.0
Carwow,0.0,0.0,70.0,0.0,0.0,70.0
Casper,78.0,0.0,0.0,0.0,0.0,78.0
Cazoo,0.0,0.0,750.0,0.0,0.0,750.0
Celsius,0.0,0.0,150.0,0.0,0.0,150.0
Cerebral,0.0,0.0,400.0,285.0,0.0,685.0
Certinia,0.0,0.0,0.0,0.0,0.0,0.0
Chainalysis,0.0,0.0,0.0,194.0,0.0,194.0
Character.ai,0.0,0.0,0.0,0.0,6.0,6.0
ChargePoint,0.0,0.0,0.0,0.0,250.0,250.0
Chargebee,0.0,0.0,142.0,100.0,0.0,242.0
Checkmarx,0.0,0.0,100.0,0.0,0.0,100.0
Checkout.com,0.0,0.0,100.0,0.0,80.0,180.0
Checkr,64.0,0.0,0.0,0.0,382.0,446.0
Chegg,0.0,0.0,0.0,80.0,1323.0,1403.0
Chia Network,0.0,0.0,0.0,26.0,0.0,26.0
Chief,0.0,0.0,0.0,43.0,0.0,43.0
Chime,0.0,0.0,156.0,0.0,0.0,156.0
Chingari,0.0,0.0,0.0,48.0,0.0,48.0
Chipper Cash,0.0,0.0,50.0,115.0,20.0,185.0
Chope,0.0,0.0,65.0,0.0,0.0,65.0
ChowNow,0.0,0.0,140.0,0.0,60.0,200.0
Chrono24,0.0,0.0,0.0,65.0,0.0,65.0
Cint,0.0,0.0,0.0,0.0,0.0,0.0
CircleCI,0.0,0.0,0.0,0.0,100.0,100.0
Cisco,0.0,0.0,4100.0,0.0,9850.0,13950.0
Citrine Informatics,0.0,0.0,0.0,22.0,0.0,22.0
Citrix,0.0,0.0,0.0,0.0,1000.0,1000.0
CityMall,0.0,0.0,191.0,0.0,0.0,191.0
Cityblock Health,0.0,0.0,0.0,155.0,0.0,155.0
Clarify Health,0.0,0.0,15.0,0.0,0.0,15.0
ClassPass,154.0,0.0,0.0,0.0,0.0,154.0
Clear,0.0,0.0,190.0,0.0,0.0,190.0
ClearCo,0.0,0.0,0.0,50.0,0.0,50.0
Clearbanc,17.0,0.0,0.0,0.0,0.0,17.0
Clearco,0.0,0.0,125.0,0.0,0.0,125.0
Clearcover,0.0,0.0,0.0,81.0,0.0,81.0
CleverTap,60.0,0.0,0.0,0.0,0.0,60.0
ClickUp,0.0,0.0,60.0,90.0,0.0,150.0
Clinc,40.0,0.0,0.0,0.0,0.0,40.0
Cloudflare,0.0,0.0,0.0,0.0,40.0,40.0
Cloudinary,0.0,0.0,40.0,0.0,0.0,40.0
Clue,0.0,0.0,0.0,31.0,0.0,31.0
Clutch,0.0,0.0,76.0,0.0,0.0,76.0
CoRover,0.0,0.0,0.0,0.0,0.0,0.0
Code42,25.0,0.0,0.0,0.0,0.0,25.0
CodeSee,0.0,0.0,0.0,0.0,0.0,0.0
Coding Dojo,7.0,0.0,0.0,0.0,0.0,7.0
Cogito,24.0,0.0,0.0,0.0,0.0,24.0
