Country,2020,2021,2022,2023,2024,Total_Laid_off
Argentina,0.0,0.0,233.0,0.0,140.0,373.0
Australia,96.0,0.0,875.0,1633.0,60.0,2664.0
Austria,0.0,0.0,270.0,0.0,100.0,370.0
Belgium,0.0,0.0,0.0,0.0,50.0,50.0
Brazil,1227.0,0.0,4084.0,1643.0,75.0,7029.0
Canada,982.0,45.0,3025.0,4212.0,1087.0,9351.0
Cayman Islands,0.0,0.0,0.0,0.0,60.0,60.0
Chile,0.0,0.0,0.0,295.0,200.0,495.0
China,0.0,0.0,480.0,275.0,70.0,825.0
Czech Republic,0.0,0.0,0.0,0.0,316.0,316.0
Denmark,0.0,0.0,335.0,0.0,79.0,414.0
Estonia,63.0,0.0,143.0,167.0,13.0,386.0
Finland,0.0,0.0,250.0,0.0,0.0,250.0
France,0.0,0.0,443.0,457.0,280.0,1180.0
Germany,331.0,387.0,2508.0,12118.0,8920.0,24264.0
Hong Kong,700.0,0.0,30.0,0.0,0.0,730.0
India,9877.0,200.0,8861.0,5982.0,8270.0,33190.0
Indonesia,430.0,0.0,1931.0,360.0,650.0,3371.0
Ireland,0.0,0.0,209.0,207.0,335.0,751.0
Israel,224.0,0.0,1593.0,1448.0,1843.0,5108.0
Japan,0.0,0.0,0.0,120.0,9000.0,9120.0
Kenya,0.0,0.0,349.0,633.0,1060.0,2042.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,50.0,0.0,50.0,0.0,0.0,100.0
Mexico,90.0,0.0,80.0,0.0,0.0,170.0
Netherlands,225.0,0.0,0.0,35.0,90.0,350.0
New Zealand,0.0,0.0,0.0,1025.0,0.0,1025.0
Nigeria,0.0,0.0,970.0,0.0,0.0,970.0
Norway,0.0,0.0,70.0,0.0,215.0,285.0
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0
Poland,0.0,0.0,0.0,0.0,325.0,325.0
Portugal,80.0,0.0,0.0,0.0,0.0,80.0
Russia,0.0,0.0,400.0,0.0,0.0,400.0
Senegal,0.0,0.0,300.0,0.0,0.0,300.0
Singapore,861.0,21.0,2844.0,1069.0,395.0,5190.0
South Korea,0.0,0.0,0.0,350.0,0.0,350.0
Spain,0.0,0.0,0.0,339.0,54.0,393.0
Sweden,0.0,0.0,1507.0,10800.0,350.0,12657.0
Switzerland,62.0,0.0,0.0,0.0,0.0,62.0
Thailand,0.0,0.0,55.0,0.0,0.0,55.0
UK,1478.0,0.0,2701.0,6986.0,5568.0,16733.0
USA,44217.0,6137.0,92429.0,126792.0,81721.0,351296.0
United Arabian Emirates,536.0,0.0,552.0,0.0,0.0,1088.0
Uruquay,0.0,0.0,0.0,0.0,104.0,104.0
